Concelho;A;ADN;B.E.;CDS-PP;CH;E;EMBRANCO;IL;JPP;L;MAS;MPT;NC;NULOS;PAN;PCP-PEV;PCTP/MRPP;PPD/PSD;PPD/PSD.CDS-PP;PPD/PSD.CDS-PP.PPM;PPM;PS;PTP;R.I.R.;VP
NAZARE;;0.34;6.29;1.02;8.27;0.06;1.38;4.01;;0.7;0.14;0.18;0.19;0.87;0.87;6.52;;24.6;;;;43.72;0.0;0.66;0.17
NELAS;;0.11;2.89;5.34;8.67;0.06;1.26;1.74;;0.6;0.05;0.08;0.1;1.44;1.18;2.11;;29.65;;;;44.24;0.02;0.3;0.17
NISA;;;1.9;0.72;8.13;0.04;1.6;1.05;;0.29;0.09;0.03;;1.41;0.53;8.86;0.67;21.26;;;;53.22;0.0;0.15;0.07
NORDESTE;;0.38;2.47;;6.28;0.16;2.54;1.92;;0.45;0.3;0.29;;2.78;0.8;1.34;0.37;;;34.13;;45.65;;0.17;0.0
OBIDOS;;0.31;4.61;1.5;8.52;0.06;1.27;4.52;;1.19;0.15;0.04;0.02;1.21;1.43;3.76;;32.38;;;;38.53;0.03;0.41;0.06
ODEMIRA;;;4.19;0.8;7.5;0.11;1.27;2.88;;0.9;0.18;0.17;;1.41;1.18;14.16;0.66;15.0;;;;48.91;0.08;0.37;0.2
ODIVELAS;0.07;0.26;4.54;1.09;8.96;0.07;1.01;5.8;0.06;1.68;0.12;0.12;0.07;1.04;2.14;4.76;0.43;20.66;;;;46.63;0.06;0.29;0.13
OEIRAS;0.08;0.33;4.74;1.72;6.09;0.05;1.17;9.71;0.08;2.78;0.14;0.12;0.08;0.69;2.34;4.42;0.29;26.24;;;;38.56;0.03;0.23;0.11
OLEIROS;;0.27;1.68;2.27;4.92;0.1;1.33;1.36;;0.15;0.2;0.31;0.53;2.0;0.54;0.68;0.23;48.79;;;;34.26;0.23;0.17;
OLHAO;;0.51;6.55;1.27;13.93;0.08;1.45;4.3;;0.99;0.18;0.24;;0.95;2.7;4.7;;21.26;;;;40.2;0.11;0.47;0.12
OLIVEIRA DE AZEMEIS;;0.14;4.11;1.84;4.74;0.06;1.16;3.38;0.09;0.57;0.12;0.14;;1.15;1.02;1.27;0.4;34.65;;;;44.36;;0.65;0.14
OLIVEIRA DE FRADES;;0.05;2.56;2.46;7.61;0.08;1.3;1.91;;0.36;0.12;0.0;0.64;0.98;0.93;1.46;;41.82;;;;37.15;0.04;0.39;0.15
