COD,CONC,ORG,A,B.E.,CDS-PP,CH,E,IL,JPP,L,MAS,MPT,NC,PAN,PCTP/MRPP,PDR,PPD/PSD,PPM,PS,PTP,R.I.R.,VP,PCP-PEV,[NC/A],IN-OV,VM,[MCCP],[AFE],[CPC],[MMMI],AP,MIPA,[SPCVB],[S-MI],[UTV],[MVR],[MC21],[MCPE],[CLIP],[MPNT],[MOVE],[MAiSines],MUB,R,FAP,#NAME?,Manteigas 2030,UPF,MMMF,MOV.PT,I-Góis,M51,JÁ!,U.C.,UCPT,CICC,jmfv,MFI,MCPE,JPNT,MLP,GCA,MP,CIC,,VA,PV,[ALTERNATIVAcom,,CICF,CPM,[MPT/PPM/A,UPM,MSU,CIMB
121400,PORTALEGRE,CM,,0.42,,1.99,,,,,,,,,,,39.26,,25.93,,,,6.71,,,,,,,,,,,,,,,,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130200,BAIAO,CM,,,,2.66,,,,,,,,,,,33.41,,62.69,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130400,GONDOMAR,CM,,6.09,,4.22,,2.88,,,,,,3.04,,,22.77,,49.61,,,,11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130500,LOUSADA,CM,,1.54,,1.56,,,,,,,,,,,34.82,,60.25,,0.65,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130600,MAIA,CM,,5.49,,4.09,,3.89,,,,,,3.98,,,42.94,0.22,34.28,,,,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130700,MARCO DE CANAVESES,CM,,1.32,,1.49,,,,,,,,,,,35.08,,60.55,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130800,MATOSINHOS,CM,,5.95,,4,,4.93,,,,,,2.85,,,18.14,,56.25,,,,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131500,VALONGO,CM,,5.13,,4.46,,,,,,,2.9,3.16,,,25.65,,53.28,,,,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131800,TROFA,CM,,,,2.53,,,,,,,,2.8,,,58.75,,33.53,,,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140300,ALMEIRIM,CM,,,,8.25,,,,,,,,,,,9.35,,71.27,,,,11.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
